title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price_numeric
Corporate Finance,62798,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,"English, हिन्दी",3–5 hours per week,5 Weeks,150.0
Judaism Through Its Scriptures,50540,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,99.0
Excel avanzado: importación y análisis de datos,47184,Self-paced on your time,Universitat Politècnica de Valencia,Advanced,Data Analysis & Statistics,Español,Español,3–4 hours per week,8 Weeks,75.0
CSS Basics,95163,Self-paced on your time,The World Wide Web Consortium (W3C),Introductory,Computer Science,English,English,5–7 hours per week,5 Weeks,199.0
Unlocking Information Security: Part I,19905,Self-paced on your time,IsraelX-Tel Aviv University,Intermediate,Computer Science,English,"اللغة العربية, English, עברית",4–6 hours per week,6 Weeks,149.0
Becoming an Effective Leader,55937,Self-paced on your time,The University of Queensland,Intermediate,Communication,English,English,8–10 hours per week,10 Weeks,99.0
Digital Branding and Engagement,122977,Self-paced on your time,Curtin University,Intermediate,Communication,English,English,3–4 hours per week,4 Weeks,99.0
Introduction to Cybersecurity,73021,Self-paced on your time,University of Washington,Introductory,Computer Science,English,English,2–5 hours per week,6 Weeks,199.0
General Academic English|生活英语进阶,17526,Self-paced on your time,Tsinghua University,Introductory,Language,English,English,3–4 hours per week,8 Weeks,49.0
Gestión de personas: Recursos Humanos,19687,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,"English, Español",5–7 hours per week,5 Weeks,119.0
From Poverty to Prosperity: Understanding Economic Development,91062,Self-paced on your time,University of Oxford,Intermediate,Social Sciences,English,English,2–3 hours per week,6 Weeks,149.0
Medical Terminology,31354,Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,English,5–10 hours per week,8 Weeks,79.0
Ancient Masterpieces of World Literature,48899,Self-paced on your time,Harvard University,Introductory,Literature,English,English,3–6 hours per week,6 Weeks,99.0
Shakespeare's The Merchant of Venice: Shylock,23283,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–7 hours per week,4 Weeks,49.0
Gestión del estrés y Mindfulness,15965,Self-paced on your time,Universidades Anáhuac,Introductory,Health & Safety,Español,Español,4–5 hours per week,4 Weeks,49.0
Behavioural Economics in Action,66764,Self-paced on your time,University of Toronto,Introductory,Business & Management,English,English,4–5 hours per week,6 Weeks,139.0
Finance for Everyone: Smart Tools for Decision-Making,45029,Self-paced on your time,The University of Michigan,Introductory,Business & Management,English,English,5–6 hours per week,6 Weeks,49.0
Creating Innovative Business Models,12227,Self-paced on your time,"University System of Maryland-The University of Maryland, College Park",Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,149.0
u.lab: Leading From the Emerging Future,79424,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,"English, Español, Français, עברית, Indonesian, Italiano, 日本語, Português, Türkçe",4–6 hours per week,14 Weeks,99.0
Electric Cars: Introduction,56171,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,English,4–5 hours per week,4 Weeks,50.0
Inteligencia Artificial para todos: Domina los fundamentos,11764,Self-paced on your time,IBM,Introductory,Computer Science,Español,Español,1–2 hours per week,4 Weeks,49.0
Marketing Analytics,55228,Instructor-led on a course schedule,Columbia University,Advanced,Business & Management,English,English,8–10 hours per week,12 Weeks,249.0
Introducción a la Regulación Emocional basada en Mindfulness,20634,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Health & Safety,Español,Español,5–6 hours per week,4 Weeks,49.0
Design Thinking Fundamentals,56446,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,English,8–12 hours per week,6 Weeks,299.0
Basic Spanish 3: Getting there,17569,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Language,English,"English, Español",3–4 hours per week,4 Weeks,50.0
Mi propia huerta orgánica,11346,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Biology & Life Sciences,Español,Español,1–2 hours per week,4 Weeks,29.0
Sustainability in Architecture: An Interdisciplinary Introduction,31352,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Architecture,English,English,3–4 hours per week,4 Weeks,50.0
Gestión de riesgos en proyectos de desarrollo,47676,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Español,Español,2–3 hours per week,10 Weeks,25.0
Python Data Structures,36369,Self-paced on your time,The University of Michigan,Introductory,Computer Science,English,English,2–4 hours per week,7 Weeks,49.0
The Science and Business of Biotechnology,17039,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Business & Management,English,English,10–12 hours per week,16 Weeks,49.0
Finance Essentials,63666,Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,English,2–4 hours per week,6 Weeks,79.0
Introduction to the Internet of Things (IoT),89421,Self-paced on your time,Curtin University,Introductory,Computer Science,English,English,2–3 hours per week,6 Weeks,149.0
'Talk to me': Improving mental health and suicide prevention in young adults,11481,Self-paced on your time,Curtin University,Introductory,Health & Safety,English,English,2–3 hours per week,6 Weeks,139.0
Disaster Medicine Training,10937,Self-paced on your time,Stanford University,Introductory,Medicine,English,English,1–2 hours per week,8 Weeks,50.0
Nutrition and Health: Human Microbiome,44079,Self-paced on your time,Wageningen University & Research,Introductory,Health & Safety,English,English,3–5 hours per week,6 Weeks,49.0
Customer Relationship Management,53085,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,"English, हिन्दी",3–5 hours per week,6 Weeks,50.0
Islam Through Its Scriptures,65430,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,99.0
Mechatronics Revolution: Fundamentals and Core Concepts,11619,Self-paced on your time,The Georgia Institute of Technology,Introductory,Engineering,English,English,6–8 hours per week,16 Weeks,149.0
Accounting for Decision-Making,57710,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,"English, हिन्दी",3–5 hours per week,7 Weeks,150.0
C Programming: Language Foundations,46400,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,English,2–4 hours per week,7 Weeks,49.0
Big Data sin misterios,65564,Self-paced on your time,Inter-American Development Bank,Intermediate,Data Analysis & Statistics,Español,Español,4–5 hours per week,10 Weeks,25.0
Becoming a Successful Leader (Inclusive Leadership Training),215705,Self-paced on your time,Catalyst,Introductory,Communication,English,English,1–2 hours per week,4 Weeks,49.0
"English for Journalists, Part 1",50847,Self-paced on your time,"University of California, Berkeley",Intermediate,Communication,English,English,3–4 hours per week,5 Weeks,139.0
Introduction to Networking,16134,Self-paced on your time,New York University,Introductory,Computer Science,English,English,3–5 hours per week,7 Weeks,150.0
Accounting Essentials,58463,Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,English,3–5 hours per week,6 Weeks,79.0
Introduction to Java Programming: Starting to code in Java,325554,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Computer Science,English,"English, Español, Português, 中文",7–10 hours per week,5 Weeks,149.0
European Paintings: From Leonardo to Rembrandt to Goya,60734,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Humanities,English,English,2–3 hours per week,7 Weeks,99.0
Java Programming Fundamentals,12042,Self-paced on your time,Universidad Galileo,Intermediate,Engineering,English,English,8–10 hours per week,5 Weeks,49.0
"Hollywood: History, Industry, Art",50033,Self-paced on your time,University of Pennsylvania,Introductory,Communication,English,English,3–4 hours per week,4 Weeks,169.0
Data Science Tools,15627,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,English,3–7 hours per week,7 Weeks,39.0
Statistical Thinking for Data Science and Analytics,198861,Self-paced on your time,Columbia University,Introductory,Computer Science,English,English,7–10 hours per week,5 Weeks,99.0
Philosophy and Critical Thinking,97175,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,English,1–4 hours per week,6 Weeks,99.0
International Law,91868,Self-paced on your time,Université catholique de Louvain,Advanced,Law,English,English,6–8 hours per week,12 Weeks,150.0
Tourism and Travel Management,38503,Self-paced on your time,The University of Queensland,Introductory,Business & Management,English,English,2–3 hours per week,7 Weeks,5.0
Project Management Life Cycle,120019,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,English,8–12 hours per week,10 Weeks,150.0
Solar Energy,125069,Self-paced on your time,Delft University of Technology,Introductory,Engineering,English,English,6–8 hours per week,8 Weeks,50.0
Public Speaking,10129,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,English,4–6 hours per week,3 Weeks,199.0
Japanese Pronunciation for Communication,62757,Self-paced on your time,Waseda University,Introductory,Communication,日本語,"English, 日本語, 한국어, 中文",3–5 hours per week,5 Weeks,99.0
Mindfulness and Resilience to Stress at Work,33414,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,English,English,1–2 hours per week,4 Weeks,199.0
Framing Your Communication to Inspire and Convince,49351,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,English,4–5 hours per week,5 Weeks,125.0
Business Foundations,55154,Self-paced on your time,University of British Columbia,Introductory,Business & Management,English,English,3–5 hours per week,6 Weeks,150.0
The Chemistry of Life,78704,Self-paced on your time,Kyoto University,Introductory,Biology & Life Sciences,English,English,2–3 hours per week,13 Weeks,49.0
Nutrition and Health: Micronutrients and Malnutrition,78266,Self-paced on your time,Wageningen University & Research,Intermediate,Biology & Life Sciences,English,English,6–8 hours per week,7 Weeks,99.0
Digital Design,12339,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Design,English,English,5–6 hours per week,5 Weeks,50.0
Machine Learning for Data Science and Analytics,140419,Self-paced on your time,Columbia University,Introductory,Computer Science,English,English,7–10 hours per week,5 Weeks,99.0
The Science of Everyday Thinking,318399,Self-paced on your time,The University of Queensland,Introductory,Business & Management,English,English,2–3 hours per week,12 Weeks,99.0
Gestion de projets de développement,41663,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Français,Français,3–4 hours per week,10 Weeks,25.0
Product Management Fundamentals,11913,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,199.0
International Human Rights Law,74424,Self-paced on your time,Université catholique de Louvain,Advanced,Law,English,English,6–8 hours per week,12 Weeks,150.0
The Best Start in Life: Early Childhood Development for Sustainable Development,23139,Self-paced on your time,SDG Academy,Intermediate,Education & Teacher Training,English,"اللغة العربية, English, Español, हिन्दी, Português",2–4 hours per week,8 Weeks,49.0
Data Science and Machine Learning Capstone Project,21809,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,English,3–4 hours per week,6 Weeks,99.0
"Data Science for Construction, Architecture and Engineering",11113,Self-paced on your time,The National University of Singapore,Introductory,Data Analysis & Statistics,English,English,4–6 hours per week,7 Weeks,199.0
"Nutrition, Heart Disease and Diabetes",24986,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,English,English,6–8 hours per week,5 Weeks,99.0
Project Management for Development,62099,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,English,English,3–4 hours per week,10 Weeks,49.0
Introduction to Cloud Infrastructure Technologies,86923,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,English,3–4 hours per week,14 Weeks,169.0
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",13566,Self-paced on your time,Wageningen University & Research,Introductory,Art & Culture,English,English,4–6 hours per week,5 Weeks,65.0
Machine Learning,150855,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,English,8–10 hours per week,12 Weeks,249.0
Introducción a la gestión de proyectos,98517,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Business & Management,Español,Español,4–5 hours per week,5 Weeks,50.0
Free Cash Flow Analysis,36085,Self-paced on your time,Columbia University,Introductory,Business & Management,English,English,3–4 hours per week,5 Weeks,225.0
Lean Production,55926,Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,English,3–4 hours per week,6 Weeks,99.0
Introduction to Algebra,131197,Self-paced on your time,SchoolYourself,Introductory,Math,English,English,4–6 hours per week,4 Weeks,139.0
"LaTeX for Students, Engineers, and Scientists",11823,Self-paced on your time,IITBombay,Introductory,Engineering,English,English,3–4 hours per week,7 Weeks,139.0
Leading With Effective Communication (Inclusive Leadership Training),107770,Self-paced on your time,Catalyst,Introductory,Communication,English,English,1–2 hours per week,4 Weeks,50.0
Anatomy: Musculoskeletal and Integumentary Systems,51969,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,English,2–3 hours per week,4 Weeks,49.0
"Inglés empresarial: ventas, gestión y liderazgo",10897,Instructor-led on a course schedule,Universidades Anáhuac,Introductory,Business & Management,English,"English, Español",5–8 hours per week,4 Weeks,49.0
Business Strategy from Wharton: Competitive Advantage,26675,Self-paced on your time,The Wharton School of the University of Pennsylvania,Intermediate,Business & Management,English,English,3–4 hours per week,6 Weeks,199.0
Inteligencia emocional para el liderazgo efectivo y colaboración,14726,Self-paced on your time,Universidades Anáhuac,Introductory,Social Sciences,Español,Español,4–5 hours per week,4 Weeks,49.0
Introducción al desarrollo de aplicaciones web,27757,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,Español,4–5 hours per week,5 Weeks,49.0
"Six Sigma: Analyze, Improve, Control",56016,Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,English,3–4 hours per week,8 Weeks,99.0
Introducción a la inteligencia emocional,18830,Self-paced on your time,Universidades Anáhuac,Introductory,Social Sciences,Español,Español,3–5 hours per week,4 Weeks,49.0
AP® Microeconomics,53664,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Economics & Finance,English,English,3–4 hours per week,12 Weeks,49.0
Engineering Calculus and Differential Equations,21535,Self-paced on your time,University of Hong Kong,Introductory,Math,English,English,3–6 hours per week,6 Weeks,50.0
Linear Algebra - Foundations to Frontiers,88570,Self-paced on your time,The University of Texas at Austin,Intermediate,Computer Science,English,English,6–10 hours per week,15 Weeks,49.0
Habilidades de negociación y comunicación efectiva,19614,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,Español,5–8 hours per week,4 Weeks,149.0
Effective Communication for Today's Leader,8862,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,English,5–8 hours per week,4 Weeks,149.0
Electric Cars: Technology,40972,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,English,4–5 hours per week,4 Weeks,50.0
Site Planning Online,12948,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Design,English,English,4–6 hours per week,10 Weeks,99.0
Macroeconometric Forecasting,69358,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,English,8–10 hours per week,9 Weeks,25.0
Administración pública y fiscal: cómo se gestiona un gobierno,49189,Self-paced on your time,Inter-American Development Bank,Introductory,Economics & Finance,Español,"Español, Español",3–4 hours per week,10 Weeks,25.0
Fundamentals of Red Hat Enterprise Linux,53788,Self-paced on your time,Red Hat,Introductory,Computer Science,English,English,1–3 hours per week,9 Weeks,99.0
Algorithms,61722,Self-paced on your time,IITBombay,Intermediate,Computer Science,English,English,6–8 hours per week,6 Weeks,149.0
Calculus Applied!,54976,Self-paced on your time,Harvard University,Intermediate,Math,English,English,3–6 hours per week,10 Weeks,99.0
Precalculus,55576,Self-paced on your time,Arizona State University,Intermediate,Math,English,English,9–10 hours per week,15 Weeks,49.0
Fundamentos de anatomía y técnica quirúrgica básica,12133,Instructor-led on a course schedule,Universidad del Rosario,Introductory,Medicine,Español,Español,4–6 hours per week,4 Weeks,49.0
Business Communications,60713,Self-paced on your time,University of British Columbia,Introductory,Business & Management,English,English,3–5 hours per week,6 Weeks,150.0
Italian Language and Culture: Intermediate (2019-2020),35058,Self-paced on your time,Wellesley College,Intermediate,Language,Italiano,Italiano,3–5 hours per week,12 Weeks,49.0
International Women's Health and Human Rights,9796,Self-paced on your time,Stanford University,Introductory,Social Sciences,English,English,1–5 hours per week,10 Weeks,50.0
Blockchain: Understanding Its Uses and Implications,66769,Self-paced on your time,The Linux Foundation,Introductory,Business & Management,English,English,2–3 hours per week,14 Weeks,199.0
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",22366,Self-paced on your time,Imperial College London,Intermediate,Math,English,English,2–4 hours per week,7 Weeks,49.0
Blockchain Technology,55376,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,English,3–5 hours per week,6 Weeks,99.0
Basics of Power BI,8314,Self-paced on your time,Rolls-Royce,Introductory,Data Analysis & Statistics,English,English,1–5 hours per week,2 Weeks,49.0
Preparing to Network in English,34337,Self-paced on your time,University of Washington,Introductory,Language,English,English,3–5 hours per week,6 Weeks,149.0
Mandarin Chinese Essentials,36665,Self-paced on your time,MandarinX,Introductory,Language,English,English,4–10 hours per week,5 Weeks,99.0
Human Rights: The Rights of Refugees,84270,Self-paced on your time,Amnesty International,Introductory,Humanities,English,English,3–5 hours per week,3 Weeks,49.0
What do Architects and Urban Planners do?,11046,Self-paced on your time,Wits University,Introductory,Architecture,English,English,2–3 hours per week,3 Weeks,49.0
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",22723,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,English,2–4 hours per week,4 Weeks,49.0
Negotiation Skills and Effective Communication,8146,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,English,5–8 hours per week,4 Weeks,149.0
AP® English Literature & Composition – Part 1: Stories,15650,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,English,4–5 hours per week,7 Weeks,49.0
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",28710,Self-paced on your time,IsraelX-Tel Aviv University,Introductory,Medicine,English,English,2–3 hours per week,7 Weeks,149.0
Alianzas: un vehículo para lograr el desarrollo sostenible,17554,Self-paced on your time,Inter-American Development Bank,Introductory,Social Sciences,Español,English,3–4 hours per week,10 Weeks,25.0
Designing and Creating Skirts,13954,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Design,English,English,3–5 hours per week,5 Weeks,99.0
Cómo Aprender Online,7958,Self-paced on your time,edX,Introductory,Education & Teacher Training,Español,"English, Español",2–3 hours per week,2 Weeks,49.0
Computing in Python II: Control Structures,31511,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,English,9–10 hours per week,5 Weeks,99.0
Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,29614,Self-paced on your time,Universidad Galileo,Introductory,Communication,Español,Español,3–4 hours per week,5 Weeks,49.0
Machine Learning Fundamentals,82008,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,English,English,8–10 hours per week,10 Weeks,350.0
Pre-University Calculus,103224,Self-paced on your time,Delft University of Technology,Introductory,Math,English,English,6–8 hours per week,8 Weeks,50.0
Tsinghua Chinese: Start Talking with 1.3 Billion People,58834,Self-paced on your time,Tsinghua University,Introductory,Language,English,English,2–3 hours per week,6 Weeks,49.0
Deep Learning with Python and PyTorch,36195,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,English,2–4 hours per week,6 Weeks,99.0
Diseña presentaciones eficaces con Powerpoint,36663,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,4–10 hours per week,3 Weeks,50.0
World of Wine: From Grape to Glass,81839,Self-paced on your time,University of Adelaide,Introductory,Science,English,English,2–3 hours per week,6 Weeks,199.0
Sustainable Cities,16619,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,"English, हिन्दी",4–6 hours per week,9 Weeks,49.0
Introduction to Developmental Psychology,38060,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,English,1–2 hours per week,8 Weeks,99.0
Creativity & Entrepreneurship,69413,Self-paced on your time,Berklee College of Music,Introductory,Business & Management,English,English,3–5 hours per week,4 Weeks,49.0
College Algebra and Problem Solving,103010,Self-paced on your time,Arizona State University,Introductory,Math,English,English,8–9 hours per week,15 Weeks,49.0
Academic writing for clarity and meaning,16220,Self-paced on your time,Wits University,Introductory,Education & Teacher Training,English,English,2–3 hours per week,2 Weeks,49.0
Financial Development and Financial Inclusion,13853,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,English,8–10 hours per week,7 Weeks,25.0
Global Public Health,17273,Self-paced on your time,SDG Academy,Intermediate,Health & Safety,English,English,4–6 hours per week,10 Weeks,49.0
Embedded Systems - Shape The World: Microcontroller Input/Output,69182,Self-paced on your time,The University of Texas at Austin,Intermediate,Computer Science,English,English,8–10 hours per week,8 Weeks,49.0
Introduction to Animal Behaviour,42135,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,English,4–6 hours per week,6 Weeks,49.0
Circular Economy: An Introduction,50240,Self-paced on your time,Delft University of Technology,Introductory,Business & Management,English,English,3–6 hours per week,7 Weeks,50.0
Public Financial Management,23288,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,English,4–6 hours per week,8 Weeks,25.0
Anatomy: Human Neuroanatomy,49319,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,English,3–4 hours per week,8 Weeks,49.0
Android: Introducción a la Programación,85786,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,4–5 hours per week,10 Weeks,50.0
The Ancient Greek Hero,51744,Instructor-led on a course schedule,Harvard University,Introductory,Humanities,English,English,8–12 hours per week,18 Weeks,99.0
Agile Leadership Principles and Practices,31838,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,English,2–3 hours per week,4 Weeks,199.0
How to Code: Simple Data,98113,Self-paced on your time,University of British Columbia,Introductory,Computer Science,English,English,2–3 hours per week,7 Weeks,125.0
Cybersecurity and Privacy in the IoT,21440,Self-paced on your time,Curtin University,Introductory,Computer Science,English,English,4–6 hours per week,5 Weeks,199.0
Strategic Management,71085,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,English,"English, हिन्दी",3–5 hours per week,5 Weeks,150.0
Introducción a la ciencia de datos y sus aplicaciones,7303,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,Español,3–6 hours per week,6 Weeks,39.0
"Biochemistry: Biomolecules, Methods, and Mechanisms",18692,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Biology & Life Sciences,English,English,3–6 hours per week,12 Weeks,150.0
Astronomía Virtual,10500,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,"English, Español",5–7 hours per week,7 Weeks,29.0
Nutrition and Cancer,27144,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,English,English,6–8 hours per week,5 Weeks,99.0
Build your very first iOS app,31570,Instructor-led on a course schedule,Curtin University,Introductory,Computer Science,English,English,8–10 hours per week,8 Weeks,149.0
Object-Oriented Programming,93633,Self-paced on your time,IITBombay,Introductory,Computer Science,English,English,6–8 hours per week,4 Weeks,149.0
Introduction to Jenkins,7233,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,English,2–3 hours per week,10 Weeks,199.0
Conducting an Informational Interview,15594,Self-paced on your time,University of Washington,Introductory,Language,English,English,3–5 hours per week,8 Weeks,99.0
Liderazgo y comportamiento organizacional,21419,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,Español,5–8 hours per week,4 Weeks,149.0
Creative Coding,18660,Instructor-led on a course schedule,New York University,Introductory,Design,English,English,8–10 hours per week,14 Weeks,249.0
Análisis estadístico con Excel,22717,Self-paced on your time,Universidad Galileo,Introductory,Data Analysis & Statistics,Español,Español,3–5 hours per week,4 Weeks,49.0
Introducción a la Ingeniería del Software,17931,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,Español,4–5 hours per week,5 Weeks,49.0
Computer Graphics,98553,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,"English, 中文",6–12 hours per week,6 Weeks,99.0
Data Science: Computational Thinking with Python,78232,Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,English,4–6 hours per week,5 Weeks,199.0
Comunicación efectiva para el líder actual,18470,Self-paced on your time,Tecnológico de Monterrey,Introductory,Communication,Español,Español,5–8 hours per week,4 Weeks,149.0
Debate y argumentación,10954,Self-paced on your time,Universidad del Rosario,Introductory,Humanities,Español,Español,4–6 hours per week,4 Weeks,49.0
Deep Learning with Tensorflow,37564,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,English,2–4 hours per week,5 Weeks,99.0
Machine Learning (aprendizaje automático) con Python: una introducción práctica,39155,Self-paced on your time,IBM,Introductory,Computer Science,Español,Español,4–6 hours per week,5 Weeks,49.0
Essential Human Biology: Cells and Tissues,67961,Self-paced on your time,University of Adelaide,Introductory,Medicine,English,English,2–3 hours per week,5 Weeks,169.0
"Writing, Presenting and Submitting Scientific Papers in English | 英文科技论文写作与学术报告",35720,Self-paced on your time,Tsinghua University,Intermediate,Communication,English,English,2–3 hours per week,5 Weeks,49.0
Computing in Python III: Data Structures,27239,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,English,9–10 hours per week,5 Weeks,99.0
Introduction to Internet of Things (IoT),6703,Self-paced on your time,Rolls-Royce,Introductory,Data Analysis & Statistics,English,English,1–5 hours per week,2 Weeks,49.0
Nutrition and Health: Food Risks,51493,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,English,6–8 hours per week,8 Weeks,49.0
Mechanics: Kinematics and Dynamics,35529,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Physics,English,English,10–12 hours per week,12 Weeks,49.0
Storytelling for Social Change,30313,Self-paced on your time,The University of Michigan,Introductory,Communication,English,English,1–3 hours per week,5 Weeks,49.0
Introduction to Data Analytics for Managers,39113,Self-paced on your time,The University of Michigan,Introductory,Business & Management,English,English,2–4 hours per week,6 Weeks,49.0
Qualitative Research Methods: Conversational Interviewing,21972,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Humanities,English,English,2–3 hours per week,3 Weeks,49.0
International Project Management,45145,Self-paced on your time,Rochester Institute of Technology,Advanced,Business & Management,English,English,8–12 hours per week,9 Weeks,150.0
Software Development Fundamentals,51402,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,English,6–8 hours per week,4 Weeks,149.0
"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",17484,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,3–5 hours per week,3 Weeks,49.0
Critical Thinking & Problem Solving,6558,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,English,4–6 hours per week,3 Weeks,199.0
Data Analysis Essentials,42262,Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,English,4–6 hours per week,6 Weeks,79.0
Master Control in Supply Chain Management and Logistics,31326,Self-paced on your time,Chalmers University of Technology,Introductory,Business & Management,English,English,4–5 hours per week,7 Weeks,49.0
Work and Employment for a Sustainable Future,6528,Self-paced on your time,SDG Academy,Intermediate,Economics & Finance,English,English,2–4 hours per week,6 Weeks,49.0
Foundations of Data Structures,54075,Self-paced on your time,IITBombay,Intermediate,Computer Science,English,English,6–8 hours per week,6 Weeks,149.0
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",31024,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,English,8–10 hours per week,6 Weeks,25.0
IoT System Design: Software and Hardware Integration,13608,Self-paced on your time,Waseda University,Intermediate,Computer Science,English,English,4–6 hours per week,4 Weeks,99.0
English for Doing Business in Asia – Writing,44252,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Humanities,English,English,3–4 hours per week,7 Weeks,60.0
Working in Teams: A Practical Guide,43981,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,English,6–8 hours per week,4 Weeks,49.0
