title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price_numeric
Lessons from Ebola: Preventing the Next Pandemic,91983,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,English,3–5 hours per week,4 Weeks,49.0
Improving Global Health: Focusing on Quality and Safety,127353,Self-paced on your time,Harvard University,Intermediate,Social Sciences,English,English,2–4 hours per week,10 Weeks,99.0
CS50 for Lawyers,87336,Self-paced on your time,Harvard University,Introductory,Computer Science,English,English,3–6 hours per week,10 Weeks,99.0
Data Science: Visualization,171258,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,49.0
Christianity Through Its Scriptures,125051,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,99.0
The Science of Happiness,475614,Self-paced on your time,"University of California, Berkeley",Introductory,Social Sciences,English,English,4–5 hours per week,11 Weeks,169.0
Leaders of Learning,231131,Self-paced on your time,Harvard University,Introductory,Communication,English,"English, Español",2–4 hours per week,10 Weeks,99.0
Exercising Leadership: Foundational Principles,57814,Self-paced on your time,Harvard University,Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,99.0
Data Science: Probability,135859,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,49.0
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410,Self-paced on your time,Harvard University,Intermediate,Education & Teacher Training,English,"English, Español",1–2 hours per week,10 Weeks,70.0
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082,Self-paced on your time,Harvard University,Introductory,Medicine,English,English,2–5 hours per week,8 Weeks,99.0
Introduction to Family Engagement in Education,105146,Self-paced on your time,Harvard University,Introductory,Education & Teacher Training,English,English,2–4 hours per week,6 Weeks,70.0
Italian Language and Culture: Beginner (2019-2020),182462,Self-paced on your time,Wellesley College,Introductory,Language,Italiano,Italiano,2–5 hours per week,12 Weeks,49.0
Steps in Japanese for Beginners1 Part1,53630,Self-paced on your time,Waseda University,Introductory,Language,English,"English, 日本語",3–5 hours per week,5 Weeks,49.0
How to Write an Essay,306787,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,English,5–6 hours per week,5 Weeks,49.0
Energy Within Environmental Constraints,95324,Self-paced on your time,Harvard University,Introductory,Environmental Studies,English,English,3–5 hours per week,10 Weeks,99.0
Introduction to Probability,97291,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,English,5–10 hours per week,10 Weeks,99.0
AnatomyX: Musculoskeletal Cases,102075,Self-paced on your time,Harvard University,Intermediate,Medicine,English,English,3–6 hours per week,7 Weeks,99.0
Data Science: Inference and Modeling,88256,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,49.0
Strengthening Community Health Worker Programs,58626,Self-paced on your time,Harvard University,Introductory,Health & Safety,English,English,2–4 hours per week,6 Weeks,79.0
Buddhism Through Its Scriptures,182295,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,99.0
Introduction to Linux,642088,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,English,5–7 hours per week,14 Weeks,199.0
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221,Self-paced on your time,Harvard University,Introductory,Medicine,English,English,1–2 hours per week,10 Weeks,99.0
Shakespeare's Life and Work,48938,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–7 hours per week,4 Weeks,49.0
Marketing Digital: Content & Community Manager,112623,Self-paced on your time,Universidad Galileo,Introductory,Communication,Español,Español,3–4 hours per week,5 Weeks,49.0
Accounting and Finance,88243,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,"English, हिन्दी",2–4 hours per week,11 Weeks,150.0
Computing in Python I: Fundamentals and Procedural Programming,141966,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,English,9–10 hours per week,5 Weeks,99.0
"Nutrition, Exercise and Sports",51679,Self-paced on your time,Wageningen University & Research,Intermediate,Food & Nutrition,English,English,4–8 hours per week,6 Weeks,49.0
Becoming an Entrepreneur,104760,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,English,1–3 hours per week,6 Weeks,69.0
"Religion, Conflict and Peace",74060,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,4–8 hours per week,8 Weeks,49.0
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,1–3 hours per week,10 Weeks,49.0
Academic and Business Writing,322701,Self-paced on your time,"University of California, Berkeley",Introductory,Communication,English,English,3–5 hours per week,6 Weeks,49.0
Data Science: Capstone,62803,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,15–20 hours per week,2 Weeks,99.0
Basics of Computing and Programming,37045,Self-paced on your time,New York University,Introductory,Computer Science,English,English,6–8 hours per week,9 Weeks,200.0
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,English,English,3–5 hours per week,6 Weeks,99.0
Successful Negotiation: Essential Strategies and Skills,31369,Self-paced on your time,The University of Michigan,Introductory,Business & Management,English,English,2–4 hours per week,7 Weeks,49.0
Data Science: Linear Regression,75310,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,49.0
HTML5 and CSS Fundamentals,335895,Self-paced on your time,The World Wide Web Consortium (W3C),Introductory,Computer Science,English,English,4–6 hours per week,6 Weeks,199.0
Data Science: Productivity Tools,66683,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,49.0
Introduction to Corporate Finance,98093,Self-paced on your time,Columbia University,Introductory,Business & Management,English,English,3–4 hours per week,4 Weeks,225.0
Computer Science 101,39540,Self-paced on your time,Stanford University,Introductory,Computer Science,English,English,4–6 hours per week,6 Weeks,149.0
Data Science: Wrangling,64584,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,1–2 hours per week,8 Weeks,49.0
A Hands-on Introduction to Engineering Simulations,187138,Self-paced on your time,Cornell University,Intermediate,Engineering,English,English,4–6 hours per week,6 Weeks,199.0
AI for Everyone: Master the Basics,49340,Self-paced on your time,IBM,Introductory,Computer Science,English,English,1–2 hours per week,4 Weeks,49.0
The Psychology of Criminal Justice,110086,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,English,1–2 hours per week,8 Weeks,99.0
Machine Learning with Python: A Practical Introduction,80161,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,English,4–6 hours per week,5 Weeks,39.0
Analyzing Data with Python,94079,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,English,2–4 hours per week,5 Weeks,39.0
Excel: gestión de datos,111785,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,Español,Español,4–6 hours per week,6 Weeks,75.0
Probability - The Science of Uncertainty and Data,205615,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Data Analysis & Statistics,English,English,10–14 hours per week,16 Weeks,300.0
"Fundamentals of Neuroscience, Part 3: The Brain",85034,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,English,English,3–5 hours per week,8 Weeks,99.0
Sikhism Through Its Scriptures,44125,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,99.0
Upper-Intermediate English: Business and Modern Life,77991,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,English,English,3–5 hours per week,4 Weeks,50.0
Introduction to Probability,97291,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,English,5–10 hours per week,10 Weeks,99.0
Religious Literacy: Traditions and Scriptures,96972,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,99.0
Programación para todos (empezando con Python),81004,Self-paced on your time,The University of Michigan,Introductory,Computer Science,Español,Español,2–4 hours per week,7 Weeks,49.0
Analyzing and Visualizing Data with Power BI,28879,Self-paced on your time,Davidson College,Introductory,Data Analysis & Statistics,English,English,10–20 hours per week,4 Weeks,99.0
High-Dimensional Data Analysis,78443,Self-paced on your time,Harvard University,Advanced,Data Analysis & Statistics,English,English,2–4 hours per week,4 Weeks,149.0
Introduction To Music Theory,67029,Self-paced on your time,Berklee College of Music,Introductory,Humanities,English,English,3–5 hours per week,6 Weeks,49.0
Human Anatomy,126850,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Medicine,English,English,2–4 hours per week,8 Weeks,139.0
"CitiesX: The Past, Present and Future of Urban Life",76874,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,"English, Português",5–7 hours per week,11 Weeks,99.0
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208,Self-paced on your time,Harvard University,Introductory,Philosophy & Ethics,English,English,1–2 hours per week,13 Weeks,99.0
Entrepreneurship 101: Who is your customer?,41838,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,English,2–4 hours per week,10 Weeks,49.0
"U.S. Public Policy: Social, Economic, and Foreign Policies",44045,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,English,2–4 hours per week,4 Weeks,49.0
Machine Learning with Python: from Linear Models to Deep Learning,85561,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Computer Science,English,English,10–14 hours per week,15 Weeks,300.0
Introduction to Data Science,43766,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,English,3–6 hours per week,6 Weeks,39.0
Circuits and Electronics 1: Basic Circuit Analysis,52639,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Electronics,English,"English, 中文",5–7 hours per week,5 Weeks,169.0
Introduction to Investments,91788,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,English,3–5 hours per week,5 Weeks,50.0
Improving Your Business Through a Culture of Health,54136,Self-paced on your time,Harvard University,Introductory,Business & Management,English,English,1–3 hours per week,9 Weeks,99.0
